goalkeeper,team,competition_name,season_id,matches_played,minutes_played,shot_stopping,distribution,sweeping,aerial_command,composite_score
Jindřich Staněk,Czech Republic,UEFA Euro,282,3,233.95,6.9,6.4,6.3,7.6,6.8
Tomáš Vaclík,Sevilla,La Liga,4,2,185.97,5.9,7.6,7.1,6.5,6.78
Mory Diaw,Clermont Foot,Ligue 1,235,2,177.98,6.5,7.5,7.2,5.8,6.75
Sergio Herrera Pirón,Osasuna,La Liga,90,2,177.98,6.2,6.4,7.1,7.0,6.68
Ivo Grbić,Lille,Ligue 1,108,2,165.0,6.4,6.5,6.7,7.0,6.65
Iago Herrerín Buisán,Athletic Club,La Liga,4,1,91.98,7.8,5.5,5.3,7.6,6.55
Hernán Ismael Galíndez,Ecuador,FIFA World Cup,106,3,262.98,5.0,6.6,7.0,7.4,6.5
Anatolii Trubin,Ukraine,UEFA Euro,282,2,188.97,6.6,5.7,6.5,6.8,6.4
Roy Carroll,Manchester United,Premier League,44,1,87.98,6.8,6.0,6.1,6.0,6.22
Devis Rogers Epassy Mboka,Cameroon,FIFA World Cup,106,2,193.97,6.4,6.3,6.0,6.0,6.18
Gianluca Pegolo,Sassuolo,Serie A,27,2,155.95,6.6,5.9,5.7,6.3,6.12
Nigel Martyn,Everton,Premier League,44,1,89.98,6.2,6.2,6.2,5.9,6.12
Yehvann Diouf,Stade de Reims,Ligue 1,235,1,91.93,6.7,6.4,5.4,5.9,6.1
Richard Wright,Everton,Premier League,44,1,90.98,6.1,6.1,6.3,5.9,6.1
Jessy Moulin,Troyes,Ligue 1,108,1,90.98,6.3,5.8,5.8,6.4,6.07
Álvaro Fernández Llorente,Huesca,La Liga,90,2,175.98,6.5,5.9,6.3,5.6,6.07
Etienne Green,Saint-Étienne,Ligue 1,108,1,93.98,6.2,5.7,5.9,6.3,6.02
Paul Nardi,Lorient,Ligue 1,108,1,91.92,6.7,5.6,5.7,6.0,6.0
Benjamin Lecomte,Montpellier,Ligue 1,235,1,90.93,6.5,6.0,5.4,6.1,6.0
Finn Dahmen,Augsburg,1. Bundesliga,281,1,90.98,6.6,5.7,6.0,5.6,5.98
Marc-Aurèle Caillard,Metz,Ligue 1,108,1,91.95,6.0,5.6,6.2,6.0,5.95
Matz Sels,Strasbourg,Ligue 1,108,1,93.98,5.6,6.0,5.9,6.3,5.95
David Seaman,Manchester City,Premier League,44,1,90.98,5.4,6.3,6.2,5.9,5.95
Gaëtan Poussin,Bordeaux,Ligue 1,108,1,90.97,5.3,6.0,6.1,6.3,5.92
Alfred Benjamin Gomis,Rennes,Ligue 1,108,1,90.97,5.7,5.8,6.0,6.2,5.92
Ian Bennett,Birmingham City,Premier League,44,1,90.98,7.1,5.5,5.5,5.5,5.9
Doğan Alemdar,Rennes,Ligue 1,108,1,94.98,5.7,5.8,5.9,6.2,5.9
Tim Howard,Manchester United,Premier League,44,1,86.0,7.0,6.2,5.2,5.2,5.9
Wayne Hennessey,Wales,FIFA World Cup,106,2,176.98,4.6,6.3,5.7,7.0,5.9
Jaume Doménech Sánchez,Valencia,La Liga,42,1,92.98,7.0,5.6,5.5,5.5,5.9
Yvon Landry Mvogo,Lorient,Ligue 1,235,1,83.0,6.6,5.5,5.3,6.0,5.85
Carlo Cudicini,Chelsea,Premier League,44,1,92.98,6.0,6.3,5.4,5.7,5.85
Sven Ulreich,Bayern Munich,1. Bundesliga,281,1,89.98,5.8,5.2,5.3,7.1,5.85
Gauthier Gallon,Troyes,Ligue 1,235,1,91.98,5.7,5.7,5.8,6.1,5.82
Meshaal Aissa Barsham,Qatar,FIFA World Cup,106,2,186.97,4.9,5.9,5.8,6.6,5.8
David James,Manchester City,Premier League,44,1,91.98,7.0,5.2,5.3,5.7,5.8
Lucas Chevalier,Lille,Ligue 1,235,1,94.98,5.6,6.0,6.0,5.6,5.8
Benjamin Leroy,AC Ajaccio,Ligue 1,235,1,90.98,6.0,5.9,5.4,5.9,5.8
Arthur Desmas,Clermont Foot,Ligue 1,108,1,87.0,5.5,5.7,5.7,6.2,5.78
Seyed Hossein Hosseini,Iran,FIFA World Cup,106,2,165.97,6.1,5.5,5.7,5.8,5.78
Oier Olazábal Paredes,Levante UD,La Liga,4,1,83.0,5.2,5.9,6.7,5.2,5.75
Matthieu Dreyer,Lorient,Ligue 1,108,1,92.98,5.4,5.7,5.7,6.2,5.75
Matěj Kovář,Bayer Leverkusen,1. Bundesliga,281,1,81.98,6.3,6.1,5.3,5.1,5.7
Dimitry Bertaud,Montpellier,Ligue 1,108,1,90.97,5.6,5.7,5.7,5.8,5.7
Moritz Nicolas,Borussia Mönchengladbach,1. Bundesliga,281,1,90.98,6.7,5.6,5.1,5.3,5.68
Ionuț Andrei Radu,Auxerre,Ligue 1,235,1,95.98,5.5,5.7,5.9,5.6,5.68
Paul Jones,Wolverhampton Wanderers,Premier League,44,1,91.98,5.3,6.3,5.5,5.5,5.65
Asier Riesgo Unamuno,Eibar,La Liga,4,1,90.98,5.3,5.8,5.6,5.8,5.62
Joel Robles Blázquez,Real Betis,La Liga,42,1,91.98,5.2,5.8,6.4,5.1,5.62
Neil Sullivan,Chelsea,Premier League,44,1,89.9,5.4,6.4,5.3,5.4,5.62
Fabrizio Alastra,Palermo,Serie A,27,2,147.93,5.0,6.1,5.6,5.5,5.55
Benoît Guy Robert Costil,Auxerre,Ligue 1,235,1,88.93,5.3,5.6,5.7,5.6,5.55
François-Joseph Sollacaro,AC Ajaccio,Ligue 1,235,1,86.0,5.5,5.3,5.5,5.8,5.52
Brice Samba,Lens,Ligue 1,235,1,84.98,5.5,5.8,5.3,5.5,5.52
Juan Pablo Carrizo,Inter Milan,Serie A,27,2,163.98,4.5,5.8,6.0,5.8,5.52
Stole Dimitrievski,Rayo Vallecano,La Liga,4,1,82.98,5.7,5.7,5.2,5.4,5.5
Jonas Omlin,Borussia Mönchengladbach,1. Bundesliga,281,1,91.97,5.5,5.8,5.3,5.2,5.45
Francesco Bardi,Frosinone,Serie A,27,2,121.97,6.3,4.8,5.0,5.7,5.45
Claudio Andrés Bravo Muñoz,Real Betis,La Liga,90,1,92.98,5.4,5.1,5.6,5.6,5.43
Pavao Pervan,Wolfsburg,1. Bundesliga,281,1,90.93,5.7,5.1,5.3,5.6,5.43
Leonardo Cesar Jardim,Lille,Ligue 1,235,1,86.0,5.3,5.4,5.6,5.4,5.42
Michael Oakes,Wolverhampton Wanderers,Premier League,44,1,89.98,5.5,5.3,5.3,5.5,5.4
Axel Werner,Huesca,La Liga,4,1,89.98,5.3,5.7,5.2,5.4,5.4
Sergio Rico González,Paris Saint-Germain,Ligue 1,108,1,25.97,5.7,5.3,5.3,5.3,5.4
Tomáš Koubek,Augsburg,1. Bundesliga,281,1,89.0,5.8,5.5,5.1,5.1,5.38
Aarón Escandell Banacloche,Granada,La Liga,90,1,86.98,6.1,5.1,5.1,5.1,5.35
Edgar Badía Guardiola,Elche,La Liga,90,1,91.98,5.5,5.3,5.2,5.4,5.35
Alexandre Letellier,Paris Saint-Germain,Ligue 1,108,1,8.83,5.4,5.3,5.3,5.3,5.32
Maik Taylor,Birmingham City,Premier League,44,1,87.0,5.2,5.3,5.2,5.5,5.3
Munir Mohand Mohamedi,Morocco,FIFA World Cup,106,1,90.97,5.9,4.7,5.3,5.2,5.28
Roberto Jiménez Gago,Deportivo Alavés,La Liga,42,1,91.97,5.1,5.4,5.2,5.1,5.2
Danny Coyne,Leicester City,Premier League,44,1,9.0,5.2,5.2,5.2,5.2,5.2
Alireza Safar Beiranvand,Iran,FIFA World Cup,106,2,107.98,5.4,5.0,4.7,5.6,5.18
Simone Colombi,Carpi,Serie A,27,2,93.98,5.6,4.8,4.6,5.5,5.12
Ferdinando Coppola,Hellas Verona,Serie A,27,1,91.97,6.0,4.9,4.6,4.7,5.05
Luca Lezzerini,Fiorentina,Serie A,27,2,113.95,4.6,5.0,5.5,5.1,5.05
Josip Posavec,Palermo,Serie A,27,1,88.98,5.9,4.7,4.5,5.1,5.05
Boris Radunović,Atalanta,Serie A,27,1,93.95,5.6,4.9,4.6,5.0,5.03
André Onana,Cameroon,FIFA World Cup,106,1,94.98,5.8,4.7,4.9,4.6,5.0
David Raya Martin,Spain,UEFA Euro,282,1,94.98,5.8,4.7,4.4,4.9,4.95
Maurizio Pugliesi,Empoli,Serie A,27,1,92.98,5.5,4.8,5.0,4.5,4.95
Davide Bassi,Atalanta,Serie A,27,1,92.97,5.1,4.6,5.0,5.0,4.92
Ederson Santana de Moraes,Brazil,FIFA World Cup,106,1,90.97,4.7,5.1,4.6,5.0,4.85
Gabriel Vasconelos Ferreira,Napoli,Serie A,27,1,94.98,4.8,5.4,4.6,4.5,4.82
Christian Abbiati,AC Milan,Serie A,27,1,74.95,5.6,4.5,4.5,4.6,4.8
Danny Ward,Wales,FIFA World Cup,106,2,106.93,5.1,4.6,4.7,4.6,4.75
Saad Abdullah Al Sheeb,Qatar,FIFA World Cup,106,1,92.97,4.6,4.7,4.8,4.7,4.7
Alberto Brignoli,Sampdoria,Serie A,27,1,85.0,4.5,4.5,4.5,5.1,4.65
Andriy Lunin,Ukraine,UEFA Euro,282,1,94.92,4.4,4.6,4.6,4.8,4.6
Weverton Pereira da Silva,Brazil,FIFA World Cup,106,1,10.82,4.6,4.6,4.6,4.6,4.6
Altay Bayındır,Turkey,UEFA Euro,282,1,94.98,4.6,4.6,4.4,4.4,4.5
